"codigo_del_sitio","weather_ts","n_records","temp_mean","temp_median","humidity_mean","humidity_median","dew_point_mean","dew_point_median","wind_speed_mean","wind_speed_median","wind_chill_mean","wind_chill_median","heat_index_mean","heat_index_median","bar_mean","bar_median","rain_mean","rain_median","rain_rate_mean","rain_rate_median","solar_rad_mean","solar_rad_median","solar_energy_mean","solar_energy_median","et_mean","et_median"
"RBMNN-AB-01","11/12/2024","63","21.798059964726637","20.611111111111107","83.158730158730165","87","65.761904761904759","65","0","0","71.222222222222229","69","73.222222222222229","71","29.868380952380949","29.871","0","0","0","0","66.80952381","0","","","0.027079365079365075","0.041"
"RBMNN-AB-01","12/12/2024","76","23.589912280701753","22.722222222222225","84.039473684210549","87","69.31578947368422","69","0","0","74.486842105263165","73","76.94736842105263","75","29.932447368421045","29.952","0","0","0","0","158.21052631578965","0","","","0.050618421","0.062"
"RBMNN-AB-01","13/12/2024","76","25.11403509","24.055555555555557","84.21052631578948","89","72.01315789473685","72","0","0","77.236842105263108","75","81.289473684210549","78","30.002736842105261","30.005","0","0","0","0","175.28947368421055","5","","","0.053986842105263166","0.062"
"RBMNN-AB-01","14/12/2024","58","22.97796935","23.555555555555557","85.91379310344827","88","68.706896551724157","70","0","0","73.327586206896555","74","75.896551724137936","77","29.981258620689655","29.974","0","0","0","0","234.87931034482759","74","","","0.040603448275862077","0.032"
"RBMNN-AB-01","15/12/2024","73","22.066210045662107","21.555555555555557","87.068493150684972","89","67.630136986301366","67","0.21917808219178087","0","71.79452055","71","74.178082191780817","73","29.901013698630134","29.892","0","0","0","0","159.50684931506851","0","","","0.054671232876712321","0.077"
"RBMNN-AB-01","16/12/2024","88","22.90782828282828","23.333333333333332","88.272727272727252","89","69.670454545454547","70","0.30681818181818171","0","73.261363636363654","74","75.818181818181813","76","29.945329545454541","29.939","0","0","0","0","141.3863636363636","0","","","0.045909090909090927","0.066"
"RBMNN-AB-01","17/12/2024","76","21.535087719298243","21.777777777777779","92.302631578947384","93","68.578947368421055","69","0.013157894736842106","0","70.802631578947384","71","72.999999999999986","74","29.920013157894733","29.918","0","0","0","0","54.697368421052623","0","","","0.016960526315789481","0.022"
"RBMNN-AB-01","18/12/2024","57","22.244639376218323","23.333333333333332","87.964912280701768","86","68.350877192982438","69","0.19298245614035089","0","72.035087719298232","74","74.22807018","76","29.954789473684205","29.953","0","0","0","0","221.85964912280693","21","","","0.055859649122807012","0.072"
"RBMNN-AB-01","19/12/2024","66","22.045454545454543","21","85.803030303030283","90","67.181818181818173","67","0.15151515151515155","0","71.74242424","70","73.78787878787881","72","29.967636363636366","29.965","0","0","0","0","161.62121212121221","26","","","0.059378787878787864","0.079"
"RBMNN-AB-01","20/12/2024","63","22.864197530864196","23.333333333333332","84.190476190476161","86","67.920634920634924","68","0.15873015873015875","0","73.19047619047619","74","75.523809523809547","76","29.992253968253966","30.001","0","0","0","0","145.30158730158735","0","","","0.06215873","0.087"
"RBMNN-AB-01","21/12/2024","65","22.830769230769228","22.277777777777775","87.646153846153865","91","69.184615384615384","69","0.092307692307692382","0","73.169230769230779","72","75.830769230769263","74","29.990323076923062","29.992","0","0","0","0","131.12307692307695","0","","","0.052953846","0.083"
"RBMNN-AB-01","22/12/2024","63","23.957671957671959","23.777777777777779","86.333333333333329","90","70.714285714285737","71","0.126984127","0","75.095238095238045","75","78.58730159","77","29.936825396825398","29.934","0","0","0","0","147.23809523809516","7","","","0.060793650793650775","0.086"
